timestamp,model_name,model_tier,model_params,provider,item_id,item_text,gold_label,category,difficulty,run_number,prediction,correct,latency_ms,raw_output,error
2026-04-13T11:32:13.693954,Llama-3.2-3B,SLM,3B,ollama,UC7_019,For a period of thirty-six (36) months following the expiration or termination o...,HIGH_RISK,Non-Compete,hard,1,MEDIUM_RISK,False,1218,MEDIUM_RISK,
2026-04-13T11:32:13.940731,Llama-3.2-3B,SLM,3B,ollama,UC7_019,For a period of thirty-six (36) months following the expiration or termination o...,HIGH_RISK,Non-Compete,hard,2,MEDIUM_RISK,False,237,MEDIUM_RISK,
2026-04-13T11:32:14.200384,Llama-3.2-3B,SLM,3B,ollama,UC7_019,For a period of thirty-six (36) months following the expiration or termination o...,HIGH_RISK,Non-Compete,hard,3,MEDIUM_RISK,False,250,MEDIUM_RISK,
2026-04-13T11:32:16.396457,Llama-3.2-3B,SLM,3B,ollama,UC7_020,"During the Restricted Period, Licensee shall not develop, market, license, or se...",HIGH_RISK,Non-Compete,medium,1,MEDIUM_RISK,False,1177,MEDIUM_RISK,
2026-04-13T11:32:16.659952,Llama-3.2-3B,SLM,3B,ollama,UC7_020,"During the Restricted Period, Licensee shall not develop, market, license, or se...",HIGH_RISK,Non-Compete,medium,2,MEDIUM_RISK,False,256,MEDIUM_RISK,
2026-04-13T11:32:16.905720,Llama-3.2-3B,SLM,3B,ollama,UC7_020,"During the Restricted Period, Licensee shall not develop, market, license, or se...",HIGH_RISK,Non-Compete,medium,3,MEDIUM_RISK,False,237,MEDIUM_RISK,
2026-04-13T11:32:19.240894,Llama-3.2-3B,SLM,3B,ollama,UC7_021,"Client hereby grants Provider an irrevocable, perpetual, worldwide, royalty-free...",HIGH_RISK,Data Privacy,easy,1,HIGH_RISK,True,1324,HIGH_RISK,
2026-04-13T11:32:19.556257,Llama-3.2-3B,SLM,3B,ollama,UC7_021,"Client hereby grants Provider an irrevocable, perpetual, worldwide, royalty-free...",HIGH_RISK,Data Privacy,easy,2,HIGH_RISK,True,307,HIGH_RISK,
2026-04-13T11:32:19.831723,Llama-3.2-3B,SLM,3B,ollama,UC7_021,"Client hereby grants Provider an irrevocable, perpetual, worldwide, royalty-free...",HIGH_RISK,Data Privacy,easy,3,HIGH_RISK,True,264,HIGH_RISK,
2026-04-13T11:32:22.141005,Llama-3.2-3B,SLM,3B,ollama,UC7_022,"Provider may share Client Data with its affiliates, subcontractors, business par...",HIGH_RISK,Data Privacy,medium,1,MEDIUM_RISK,False,1297,MEDIUM_RISK,
2026-04-13T11:32:22.437816,Llama-3.2-3B,SLM,3B,ollama,UC7_022,"Provider may share Client Data with its affiliates, subcontractors, business par...",HIGH_RISK,Data Privacy,medium,2,MEDIUM_RISK,False,288,MEDIUM_RISK,
2026-04-13T11:32:22.754529,Llama-3.2-3B,SLM,3B,ollama,UC7_022,"Provider may share Client Data with its affiliates, subcontractors, business par...",HIGH_RISK,Data Privacy,medium,3,MEDIUM_RISK,False,309,MEDIUM_RISK,
2026-04-13T11:32:25.449353,Llama-3.2-3B,SLM,3B,ollama,UC7_023,Processor shall process Personal Data in accordance with Controller's instructio...,HIGH_RISK,Data Privacy,hard,1,MEDIUM_RISK,False,1677,MEDIUM_RISK,
2026-04-13T11:32:25.872233,Llama-3.2-3B,SLM,3B,ollama,UC7_023,Processor shall process Personal Data in accordance with Controller's instructio...,HIGH_RISK,Data Privacy,hard,2,MEDIUM_RISK,False,410,MEDIUM_RISK,
2026-04-13T11:32:26.146340,Llama-3.2-3B,SLM,3B,ollama,UC7_023,Processor shall process Personal Data in accordance with Controller's instructio...,HIGH_RISK,Data Privacy,hard,3,MEDIUM_RISK,False,266,MEDIUM_RISK,
2026-04-13T11:32:28.721111,Llama-3.2-3B,SLM,3B,ollama,UC7_024,"Upon termination of this Agreement, Provider shall have the right to retain all ...",HIGH_RISK,Data Privacy,medium,1,MEDIUM_RISK,False,1556,MEDIUM_RISK,
2026-04-13T11:32:29.015153,Llama-3.2-3B,SLM,3B,ollama,UC7_024,"Upon termination of this Agreement, Provider shall have the right to retain all ...",HIGH_RISK,Data Privacy,medium,2,MEDIUM_RISK,False,279,MEDIUM_RISK,
2026-04-13T11:32:29.270963,Llama-3.2-3B,SLM,3B,ollama,UC7_024,"Upon termination of this Agreement, Provider shall have the right to retain all ...",HIGH_RISK,Data Privacy,medium,3,MEDIUM_RISK,False,245,MEDIUM_RISK,
2026-04-13T11:32:31.598162,Llama-3.2-3B,SLM,3B,ollama,UC7_025,"In the event of a Security Incident affecting Client Data, Provider shall notify...",HIGH_RISK,Data Privacy,hard,1,MEDIUM_RISK,False,1314,MEDIUM_RISK,
2026-04-13T11:32:31.887507,Llama-3.2-3B,SLM,3B,ollama,UC7_025,"In the event of a Security Incident affecting Client Data, Provider shall notify...",HIGH_RISK,Data Privacy,hard,2,MEDIUM_RISK,False,278,MEDIUM_RISK,
2026-04-13T11:32:32.233281,Llama-3.2-3B,SLM,3B,ollama,UC7_025,"In the event of a Security Incident affecting Client Data, Provider shall notify...",HIGH_RISK,Data Privacy,hard,3,MEDIUM_RISK,False,334,MEDIUM_RISK,
2026-04-13T11:32:34.401945,Llama-3.2-3B,SLM,3B,ollama,UC7_044,"To the extent permitted by applicable law, Contractor irrevocably waives all mor...",MEDIUM_RISK,IP Rights,hard,1,MEDIUM_RISK,True,1151,MEDIUM_RISK,
2026-04-13T11:32:34.649464,Llama-3.2-3B,SLM,3B,ollama,UC7_044,"To the extent permitted by applicable law, Contractor irrevocably waives all mor...",MEDIUM_RISK,IP Rights,hard,2,MEDIUM_RISK,True,239,MEDIUM_RISK,
